Tiempo (s),Page Cache (MB),Memoria Libre (MB)
0,1295.7421875,314.4765625
1,1295.765625,314.4765625
2,1295.765625,313.4921875
3,1295.765625,313.4921875
4,1295.765625,313.4921875
5,1295.765625,313.4921875
6,1295.765625,313.4921875
7,1295.7734375,313.4921875
8,1295.796875,313.4921875
9,1295.796875,313.4921875
10,1295.796875,313.4921875
11,1295.80859375,313.4921875
12,1295.80859375,313.4921875
13,1295.81640625,313.4921875
14,1295.81640625,313.4921875
15,1295.81640625,313.4921875
16,1295.81640625,313.4921875
17,1295.81640625,313.4921875
18,1295.81640625,313.4921875
19,1295.81640625,313.4921875
20,1295.81640625,313.4921875
21,1295.81640625,313.4921875
22,1295.81640625,313.4921875
23,1295.81640625,313.4921875
24,1295.81640625,313.4921875
25,1295.81640625,313.4921875
26,1295.82421875,313.4921875
27,1295.82421875,313.4921875
28,1295.82421875,313.4921875
29,1295.82421875,313.4921875
30,1295.82421875,313.4921875
31,1295.82421875,313.4921875
32,1295.82421875,313.4921875
33,1295.82421875,313.4921875
34,1295.83203125,313.4921875
35,1295.83203125,313.4921875
36,1295.83203125,313.4921875
37,1295.83203125,313.4921875
38,1295.83203125,313.4921875
39,1295.83203125,313.4921875
40,1295.83203125,313.4921875
41,1295.83203125,313.4921875
42,1295.83984375,313.4921875
43,1295.83984375,313.4921875
44,1295.73828125,313.4921875
45,1295.71484375,313.4921875
46,1295.71484375,313.4921875
47,1295.71484375,313.4921875
48,1295.72265625,313.4921875
49,1295.72265625,313.4921875
50,1295.72265625,313.4921875
51,1295.72265625,313.4921875
52,1295.72265625,313.4921875
53,1295.72265625,313.4921875
54,1295.72265625,313.4921875
55,1295.72265625,313.4921875
56,1295.72265625,313.4921875
57,1295.72265625,313.4921875
58,1295.72265625,313.4921875
59,1295.73046875,313.4921875
60,1295.76953125,310.26953125
61,1295.76953125,310.0234375
62,1295.76953125,310.0234375
63,1295.76953125,310.0234375
64,1295.76953125,306.8359375
65,1295.77734375,306.58984375
66,1295.77734375,306.58984375
67,1295.7890625,306.58984375
68,1295.9921875,304.62109375
69,1296.0390625,304.62109375
70,1296.0390625,302.16015625
71,1296.046875,296.0078125
72,1296.046875,294.0390625
73,1296.05078125,294.0390625
74,1296.05078125,294.0390625
75,1296.05078125,294.0390625
76,1296.05078125,294.0390625
77,1296.05078125,293.546875
78,1296.0625,293.546875
79,1296.0625,293.546875
80,1296.0625,293.546875
81,1296.0625,293.546875
82,1296.0625,292.5625
83,1296.0625,292.5625
84,1296.0703125,292.5625
85,1296.8203125,288.625
86,1296.8203125,288.3828125
87,1296.83203125,288.3828125
88,1296.83203125,288.3828125
89,1296.84375,288.3828125
90,1296.8515625,288.3828125
91,1296.8515625,288.3828125
92,1296.8515625,288.1640625
93,1296.8515625,288.1640625
94,1296.86328125,288.1640625
95,1296.86328125,288.1640625
96,1296.86328125,287.42578125
97,1296.96484375,278.07421875
98,1296.96484375,293.96484375
99,1296.96484375,293.96484375
100,1296.96484375,292.984375
101,1296.96484375,292.24609375
102,1296.96484375,292.24609375
103,1296.96484375,292.24609375
104,1296.96875,292.0
105,1296.96875,292.0
106,1296.96875,292.0
107,1296.98046875,291.765625
108,1296.98046875,291.765625
109,1296.98046875,291.51953125
110,1296.98046875,291.51953125
111,1296.98046875,291.51953125
112,1296.98828125,291.51953125
113,1296.98828125,291.51953125
114,1296.98828125,291.51953125
115,1296.98828125,291.51953125
116,1296.98828125,291.51953125
117,1296.98828125,291.51953125
118,1297.765625,285.61328125
119,1297.8359375,224.33984375
120,1297.8359375,154.6953125
121,1297.84765625,143.08984375
122,1297.84765625,150.96875
123,1300.29296875,158.84375
124,1300.96484375,166.2265625
125,1301.1875,174.1015625
126,1301.19921875,182.86328125
127,1301.20703125,190.75390625
128,1301.23046875,198.6328125
129,1301.2421875,214.0078125
130,1301.2421875,215.04296875
131,1301.2421875,215.04296875
132,1301.25390625,215.04296875
133,1301.25390625,215.04296875
134,1301.26171875,214.796875
135,1301.26171875,214.796875
136,1301.26171875,214.796875
137,1301.26171875,214.796875
138,1301.26171875,214.796875
139,1301.26171875,214.796875
140,1302.03125,214.55078125
141,1302.078125,214.55078125
142,1301.26953125,214.55078125
143,1301.26953125,214.55078125
144,1301.26953125,214.55078125
145,1301.27734375,214.55078125
146,1301.27734375,214.55078125
147,1239.078125,322.55078125
148,1239.87890625,321.0859375
149,1239.1640625,321.0859375
150,1239.12890625,321.0859375
151,1240.06640625,318.625
152,1240.32421875,315.42578125
153,1240.33203125,315.42578125
154,1240.33203125,315.42578125
155,1240.33203125,315.42578125
156,384.109375,1252.98046875
157,384.90234375,1218.40625
158,385.44921875,1263.0
159,385.44921875,1262.546875
160,385.44921875,1262.546875
161,385.578125,1262.546875
162,385.578125,1262.30078125
163,385.578125,1262.30078125
164,385.546875,1262.30078125
165,385.546875,1262.30078125
166,385.671875,1262.30078125
167,385.671875,1262.30078125
168,385.671875,1262.30078125
169,385.671875,1262.30078125
170,385.796875,1262.30078125
171,385.796875,1262.30078125
172,385.890625,1262.30078125
173,385.890625,1262.0546875
174,386.80859375,1261.31640625
